Date,Open,High,Low,Close,Volume
20160425,59.0200,59.1300,58.6200,58.7100,4670200
20160426,59.4000,59.9300,59.0700,59.1500,3928800
20160427,59.9200,60.0000,58.7600,59.0300,7123900
20160428,58.6900,60.6000,58.4900,60.0000,9417800
20160429,57.0400,58.2000,56.8300,57.7100,10774700
20160502,57.8500,57.9600,56.9500,57.3000,6464200
20160503,57.2000,57.5900,57.0000,57.2200,5640500
20160504,56.4300,57.2000,56.3300,56.9500,5081900
20160505,56.6400,57.0900,56.3400,56.5300,4078200
20160506,57.2000,57.3000,56.1900,56.2400,8028600
20160509,56.9100,57.5300,56.8800,57.1700,3773500
20160510,57.6300,57.6600,56.7900,57.1200,4545600
20160511,57.6300,58.1700,57.4500,57.6200,4494200
20160512,57.1600,58.0000,56.5800,57.7900,5183200
20160513,57.1200,57.6000,56.9800,57.0800,4062800
20160516,58.0200,58.5100,57.2700,57.4600,4265300
20160517,57.4300,58.1500,57.1700,57.7400,4713900
20160518,58.0100,58.5100,57.1800,57.2300,4676900
20160519,57.2300,57.8800,56.7900,57.5400,4326500
20160520,58.5300,58.8300,57.4700,57.4900,6337000
20160523,58.7300,59.2800,58.6000,58.8100,3690900
20160524,60.0900,60.1800,58.9800,58.9900,4544700
20160525,60.4400,60.5100,59.9700,60.1500,5785100
20160526,60.7700,60.8200,60.1500,60.3500,3367000
20160527,61.0200,61.0800,60.6500,60.8200,3806100
20160531,60.6000,61.2100,60.2900,61.0200,6196400
20160601,61.0700,61.2400,60.2100,60.5100,4011100
20160602,60.7600,60.9300,60.4300,60.8400,3583300
20160603,60.5300,61.1700,60.1500,61.1700,2739300
20160606,61.2900,61.4700,60.5500,60.6800,8259200
20160607,61.5600,61.7700,61.4000,61.5000,5021200
20160608,62.0800,62.2900,61.5900,61.6000,4749700
20160609,62.1400,62.2900,61.5100,62.2900,5285600
20160610,61.9100,62.1800,61.3200,61.4100,7484700
20160613,61.5300,62.3100,61.4100,61.8000,6697300
20160614,61.9000,62.1100,61.2100,61.5300,5170300
20160615,61.6900,62.2800,61.4200,62.2700,4943600
20160616,62.0600,62.1300,61.0900,61.3900,3632600
20160617,61.6200,62.1300,60.9000,62.0800,6101300
20160620,62.0100,62.5900,61.9600,62.4300,4023600
20160621,62.0400,62.3500,61.7900,62.1500,3462200
20160622,62.0600,62.5300,61.9300,62.3300,4112700
20160623,63.3000,63.3100,62.3700,62.6500,3638100
20160624,60.5400,61.9000,60.3600,60.5100,8505700
20160627,59.0700,60.0000,58.6100,59.8700,7459800
20160628,60.2700,60.3000,59.1000,59.4100,5163300
20160629,61.2500,61.3100,60.4000,60.7000,6690500
20160630,62.6500,62.6500,61.1600,61.5100,6632000
20160701,62.1100,62.4400,61.8900,62.3300,4934500
20160705,61.2500,61.8400,60.9900,61.5900,5538700
20160706,61.0600,61.3500,60.4600,60.9900,6064100
20160707,61.7700,61.9400,61.0400,61.0700,6876800
20160708,63.2700,63.2800,62.0500,62.2900,5345300
20160711,63.4000,63.8800,63.2600,63.5000,4533900
20160712,64.3800,64.4100,63.7300,63.7700,5405100
20160713,64.5400,64.8000,64.3500,64.5400,4068500
20160714,64.8100,65.2200,64.7300,65.0000,3999900
20160715,64.8500,65.2600,64.5400,65.2600,5952300
20160718,65.1900,65.5200,64.8500,64.8500,3452500
20160719,64.9400,65.2600,64.7600,64.8900,3065900
20160720,65.4500,65.6800,65.0000,65.3200,4744100
20160721,64.9100,65.5000,64.8000,65.3900,5391700
20160722,65.4900,65.6700,64.7400,65.1300,5555900
20160725,66.2200,66.2200,65.3200,65.5000,9945900
20160726,71.4200,72.5800,69.9300,70.6500,22033100
20160727,71.2700,71.5700,70.1600,70.9800,13973400
20160728,70.2300,70.8100,69.8300,70.6300,9143200
20160729,69.7500,70.4700,69.6300,70.3200,7963100
20160801,69.8800,70.2600,69.5200,69.8300,5983000
20160802,68.8500,69.8800,68.4400,69.6900,6391300
20160803,68.8800,69.0900,68.5100,68.8400,4231800
20160804,69.6100,69.7100,68.5400,69.5000,4382100
20160805,70.1500,70.2100,69.7100,70.0000,4547400
20160808,70.1400,70.3200,69.9900,70.0300,4865900
20160809,70.2500,70.8500,70.1700,70.4200,3434300
20160810,69.8900,70.3100,69.8100,70.2300,5012500
20160811,70.0000,70.2000,69.7700,70.0000,3002900
20160812,69.8400,70.2200,69.7800,70.0000,3445000
20160815,70.3300,70.7000,69.9300,70.1900,4148800
20160816,69.8200,70.3300,69.8200,70.0900,3682600
20160817,69.8200,70.0200,69.5400,69.9200,5914700
20160818,70.1300,70.1700,69.7900,69.9800,3816700
20160819,70.2700,70.5400,69.9400,70.1200,3482000
20160822,70.0000,70.6100,69.8400,70.3500,4361400
20160823,69.9800,70.5400,69.9300,70.4200,4779200
20160824,69.9000,70.2200,69.7100,70.1100,3749300
20160825,69.8200,70.0600,69.7000,69.9000,3044900
20160826,69.7500,70.3500,69.4000,69.9900,4160900
20160829,69.9800,70.3700,69.8500,69.9000,3669100
20160830,69.3100,70.2000,69.0900,70.0000,4382800
20160831,69.5400,69.6100,69.2300,69.3600,3870200
20160901,69.7000,69.7900,68.3000,68.7800,4536000
20160902,69.6800,70.1000,69.2600,70.0200,4584200
20160906,69.7900,70.0300,69.2600,69.9300,3870300
